,text,url,price,cpu_name,cpu_gen,cpu_brand,ram_value,discount_value,store
12,"2020 Asus TUF 15.6"" FHD Premium Gaming Laptop, 10th Gen Intel Quad-Core i5-10300H, 16GB RAM, 512GB SSD Boot + 1TB HDD, NVIDIA GeForce GTX 1650Ti 4GB GDDR6, RGB Backlit Keyboard, Windows 10 Home",https://www.amazon.sa/ASUS/dp/B08NBZ1YWD/ref=sr_1_13?dchild=1&keywords=Gemming+laptop&qid=1615467557&sr=8-13,1111,i5,5,Intel,16,0,Amazon (SA)
16,"ASUS TUF Gaming Laptop, 15.6” 144Hz Full HD IPS-Type Display, Intel Core i7-9750H Processor, GeForce GTX 1650, 8GB DDR4, 512GB PCIe SSD, Gigabit Wi-Fi 5, Windows 10 Home, FX505GT-AB73",https://www.amazon.sa/FX505GT-AB73/dp/B08KH2Q1FG/ref=sr_1_17?dchild=1&keywords=Gemming+laptop&qid=1615467557&sr=8-17,1070,i7,7,Intel,,0,Amazon (SA)
19,لاب توب ايليانوير M15 للالعاب ، انتل كور i7-10750H ، 15.6 انش فل اتش دي، 16 جيجا رام، 1 تيرابايت اس اس دي، 8 جيجا نفيديا RTX2070 GDDR6 جرافيكس، ويندوز 10، لون اسود,https://www.amazon.sa/%D8%A7%D9%8A%D9%84%D9%8A%D8%A7%D9%86%D9%88%D9%8A%D8%B1-%D9%84%D9%84%D8%A7%D9%84%D8%B9%D8%A7%D8%A8-i7-10750H-%D8%AA%D9%8A%D8%B1%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-%D8%AC%D8%B1%D8%A7%D9%81%D9%8A%D9%83%D8%B3%D8%8C/dp/B08H8WW237/ref=sr_1_20?dchild=1&keywords=Gemming+laptop&qid=1615467557&sr=8-20,3151,i7,7,Intel,,0,Amazon (SA)
22,لاب توب ام اس اي GE75 Raider- 10SF-286 17.3-240 هرتز، 3 ام اس - انتل كور I7 10875 ار تي اكس 2070، 16 جيجا، هارد 512 جيجا، ذاكرة مستديمة بوسيط تخزين، ويندوز 10، خاصية تقليل الاهتزاز، 17-30.99 انش,https://www.amazon.sa/GE75-Raider-10SF-286-17-3-240-%D9%87%D8%B1%D8%AA%D8%B2%D8%8C/dp/B089656G58/ref=sr_1_23?dchild=1&keywords=Gemming+laptop&qid=1615467557&sr=8-23,1889,I7,7,Intel,,0,Amazon (SA)
23,نوت بوك ايسر نايترو 5 AN515 للالعاب الجيل 10 انتل كور i7-10750 سداسي النواة 5.0 جيجا/ ذاكرة تخزين 20 جيجا رام 4 / 1 تيرا قرص صلب + 256 جيجا اس اس دي/ 4 جيجا نيفيديا جي تي اكس 1650/15.6 انش فل اتش دي,https://www.amazon.sa/%D8%A7%D9%8A%D8%B3%D8%B1-%D9%86%D8%A7%D9%8A%D8%AA%D8%B1%D9%88-%D9%84%D9%84%D8%A7%D9%84%D8%B9%D8%A7%D8%A8-i7-10750-%D9%86%D9%8A%D9%81%D9%8A%D8%AF%D9%8A%D8%A7/dp/B08LCSTYJN/ref=sr_1_24?dchild=1&keywords=Gemming+laptop&qid=1615467557&sr=8-24,1539,i7,7,Intel,,0,Amazon (SA)
24,لاب توب ام اس اي GF63 8RD للألعاب انتل كور i7-8750H شاشة 15.6 انش، يحتوي على 1 تيرابايت ساتا بلس 256 جيجا اس اس دي رام,https://www.amazon.sa/GF63-8RD-%D9%84%D9%84%D8%A3%D9%84%D8%B9%D8%A7%D8%A8-i7-8750H-%D8%AA%D9%8A%D8%B1%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA/dp/B07Q1KT2GM/ref=sr_1_25?dchild=1&keywords=Gemming+laptop&qid=1615467557&sr=8-25,1472,i7,7,Intel,,0,Amazon (SA)
26,"HP Pavilion Gaming Laptop 17-inch, Intel Core i7, NVIDIA GeForce GTX 1660 Ti with Max-Q, 16 GB RAM, 256 GB SSD, Windows 10 Home (17-cd1030nr, Shadow Black)",https://www.amazon.sa/17-cd1030nr/dp/B08835NTQZ/ref=sr_1_27?dchild=1&keywords=Gemming+laptop&qid=1615467557&sr=8-27,1281,i7,7,Intel,16,0,Amazon (SA)
32,لينوفو ليجن 5 15.6 انش فل اتش دي نوت بوك للالعاب، انتل كور i7-10750H بسرعة 2.6 جيجاهرتز، ذاكرة رام 8 جيجا، 256 جيجا اس اس دي، نفيديا جيفورس GTX 1650 4 جيجا، ويندوز 10 هوم، اسود,https://www.amazon.sa/%D9%84%D9%8A%D9%86%D9%88%D9%81%D9%88-%D9%84%D9%84%D8%A7%D9%84%D8%B9%D8%A7%D8%A8%D8%8C-i7-10750H-%D8%AC%D9%8A%D8%AC%D8%A7%D9%87%D8%B1%D8%AA%D8%B2%D8%8C-%D9%86%D9%81%D9%8A%D8%AF%D9%8A%D8%A7/dp/B0891SB8L5/ref=sr_1_33?dchild=1&keywords=Gemming+laptop&qid=1615467557&sr=8-33,1182,i7,7,Intel,,0,Amazon (SA)
33,"Razer Blade Pro 17 Gaming Laptop 2020: Intel Core i7-10875H 8-Core, NVIDIA GeForce RTX 2080 SUPER, 17.3"" 4K 120Hz, 16GB RAM, 1TB SSD, CNC, Chroma RGB, Thunderbolt 3, SD Card Reader, Creator Ready",https://www.amazon.sa/RZ09-03295E63-R3U1/dp/B087KXDMNS/ref=sr_1_34?dchild=1&keywords=Gemming+laptop&qid=1615467557&sr=8-34,4117,i7,7,Intel,16,0,Amazon (SA)
34,"HP Omen 15-dh1000ne Gaming Laptop, 15.6"" FHD, 10th Gen Intel® Core™ i7, 16GB RAM, 1 TB SSD, NVIDIA GeForce GTX 1660 6GB Graphics, Windows 10 Home, EN-AR KB, Black - Middle East Version",https://www.amazon.sa/dp/B08HJSTLWV/ref=sr_1_35?dchild=1&keywords=Gemming+laptop&qid=1615467557&sr=8-35,1533,i7,7,Intel,16,0,Amazon (SA)
37,لابتوب نوت بوك من الجيل الثالث للالعاب من ديل، انتل كور اي5 10300 اتش، 15 انش، وسيط تخزين ذو حالة ثابتة 512 جيجابايت، 8 جيجا بايت، نفيديا مخصصة، ويندوز 10، لوحة مفاتيح انجليزي/عربي، لون اسود,https://www.amazon.sa/%D9%84%D8%A7%D8%A8%D8%AA%D9%88%D8%A8-%D8%A7%D9%84%D8%AB%D8%A7%D9%84%D8%AB-%D9%84%D9%84%D8%A7%D9%84%D8%B9%D8%A7%D8%A8-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA%D8%8C-%D8%A7%D9%86%D8%AC%D9%84%D9%8A%D8%B2%D9%8A/dp/B08NHN37ZQ/ref=sr_1_38?dchild=1&keywords=Gemming+laptop&qid=1615467557&sr=8-38,756, اي5,5,Intel,,0,Amazon (SA)
38,لاب توب لينوفو ليجيون 5 للالعاب، 15.6 انش فل اتش دي، 120 هرتز، معالج انتل كور i7-10750H، 8 جيجا، 512 جيجا اس اس دي، NVIDIA GTX 1650Ti، ويندوز 10، 82AU00CGUS,https://www.amazon.sa/%D9%84%D9%8A%D9%86%D9%88%D9%81%D9%88-%D9%84%D9%84%D8%A7%D9%84%D8%B9%D8%A7%D8%A8%D8%8C-i7-10750H%D8%8C-1650Ti%D8%8C-82AU00CGUS/dp/B08NZKMH6J/ref=sr_1_39?dchild=1&keywords=Gemming+laptop&qid=1615467557&sr=8-39,1115,i7,7,Intel,,0,Amazon (SA)
39,"HP 14"" HD SVA Micro-Edge WLED-Backlit Laptop PC, AMD Ryzen 3 3250U Processor, 4GB DDR4, 128GB SSD, AMD Radeon Vega 3 Graphics, HDMI, Windows 10 S, Google Classroom Compatible, 64GB ABYS Micro SD Card",https://www.amazon.sa/14-dk/dp/B08SJ9JSZJ/ref=sr_1_40?dchild=1&keywords=Gemming+laptop&qid=1615467557&sr=8-40,491,Ryzen 3,3,AMD,,0,Amazon (SA)
40,لاب توب للألعاب ASUS TUF ، 15.6 بوصة عالي الدقة IPS ، Intel Core i5-9300H ، GeForce GTX 1650 ، 8GB DDR4 جيجابايت ، وسيط تخزين ذو حالة ثابتة 512GB PCIe 5 ، ويندوز 10 هوم ، FX505GT-US52,https://www.amazon.sa/%D9%84%D9%84%D8%A3%D9%84%D8%B9%D8%A7%D8%A8-i5-9300H-GeForce-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-FX505GT-US52/dp/B086QZPGKZ/ref=sr_1_41?dchild=1&keywords=Gemming+laptop&qid=1615467557&sr=8-41,931,i5,5,Intel,,0,Amazon (SA)
44,"Newest Lenovo Legion Y540 15.6"" FHD 144Hz IPS Premium Gaming Laptop, Intel 6-Core i7-9750H Upto 4.5GHz, 32GB RAM, 2048 GB Hybrid Drive, NVIDIA GeForce RTX 2060 6GB GDDR6, Backlit Keyboard, Windows 10",https://www.amazon.sa/LENOVO/dp/B084Z6P8PK/ref=sr_1_45?dchild=1&keywords=Gemming+laptop&qid=1615467557&sr=8-45,1527,i7,7,Intel,32,0,Amazon (SA)
45,لاب توب اسوس TUF A17 للالعاب FA706II-H7004T، AMD رايزن 7 4800H، 2.9 جيجاهرتز (كاش 8ميجا الى 4.2جيجاهرتز)،رام 16 جيجا،SSD 512، FHD 17.3، نفيديا جيفورسGTX،1650 Ti 4 جيجا، GDDR6،120 هرتز،ويندوز 10،اسود,https://www.amazon.sa/FA706II-H7004T%D8%8C-4-2%D8%AC%D9%8A%D8%AC%D8%A7%D9%87%D8%B1%D8%AA%D8%B2-%D8%AC%D9%8A%D9%81%D9%88%D8%B1%D8%B3GTX%D8%8C1650-GDDR6%D8%8C120-%D9%87%D8%B1%D8%AA%D8%B2%D8%8C%D9%88%D9%8A%D9%86%D8%AF%D9%88%D8%B2/dp/B08K9TY78P/ref=sr_1_46?dchild=1&keywords=Gemming+laptop&qid=1615467557&sr=8-46,1161,رايزن 7,7,AMD,,0,Amazon (SA)
46,لاب توب اتش بي بافليون للألعاب 15 بوصة ميكرو إيدج، معالج انتل كور i5-9300H، معالج نفيديا جيفورس GTX 1050 (3 جيجابايت) (15-dk0010nr، ظل أسود/أخضر حمضي) 15-15.99 inches 15-dk0020nr,https://www.amazon.sa/i5-9300H%D8%8C-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-15-dk0010nr%D8%8C-15-15-99-15-dk0020nr/dp/B07SC6HG74/ref=sr_1_47?dchild=1&keywords=Gemming+laptop&qid=1615467557&sr=8-47,845,i5,5,Intel,,0,Amazon (SA)
47,"2019 ASUS TUF 15.6"" FHD Gaming Laptop Computer, AMD Ryzen 7 3750H Quad-Core up to 4.0GHz, 8GB DDR4 RAM, 256GB PCIe SSD, GeForce GTX 1660 Ti 6GB, 802.11ac WiFi, Bluetooth 4.2, USB 3.1, Windows 10",https://www.amazon.sa/FX505/dp/B07W5T9GX1/ref=sr_1_48?dchild=1&keywords=Gemming+laptop&qid=1615467557&sr=8-48,1147,Ryzen 7,7,AMD,,0,Amazon (SA)
48,لاب توب الالعاب ام اس اي GS66 ستيلث 10SE-442 شاشة 15.6 انش 240 هرتز 3 ام اس فائق النحافة وخفيف الوزن انتل كور i7-10875H RTX2060 سعة 16 جيجابايت 512 جيجابايت NVMe SSD Win10PRO VR Ready,https://www.amazon.sa/GS66-10SE-442-i7-10875H-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-Win10PRO/dp/B0895Q3HW5/ref=sr_1_49?dchild=1&keywords=gaming+laptop&qid=1615467569&sr=8-49,1657,i7,7,Intel,,0,Amazon (SA)
50,لاب توب العاب اتش بي بافليون جيمنج 16، جيفورس، انتل كور اي 5- فل اتش دي، ويندوز 10 هوم، لوحة مفاتيح باضاءة خلفية,https://www.amazon.sa/%D8%A8%D8%A7%D9%81%D9%84%D9%8A%D9%88%D9%86-%D8%AC%D9%8A%D9%81%D9%88%D8%B1%D8%B3%D8%8C-%D9%88%D9%8A%D9%86%D8%AF%D9%88%D8%B2-%D9%85%D9%81%D8%A7%D8%AA%D9%8A%D8%AD-%D8%A8%D8%A7%D8%B6%D8%A7%D8%A1%D8%A9/dp/B089815FGM/ref=sr_1_51?dchild=1&keywords=gaming+laptop&qid=1615467569&sr=8-51,1099, اي 5,5,Intel,,0,Amazon (SA)
52,لاب توب لينوفو ليجيون Y540 للالعاب: انتل كور i7-9750H، نفيديا RTX 2060، ذاكرة رام 16 جيجا، 512 جيجا اس اس دي + 1 تيرا اتش دي دي، 15.6 انش شاشة فل اتش دي 144 هرتز,https://www.amazon.sa/%D9%84%D8%A7%D8%A8-%D9%84%D9%8A%D9%86%D9%88%D9%81%D9%88-%D9%84%D9%8A%D8%AC%D9%8A%D9%88%D9%86-Y540-%D9%84%D9%84%D8%A7%D9%84%D8%B9%D8%A7%D8%A8/dp/B0892RYBRB/ref=sr_1_53?dchild=1&keywords=gaming+laptop&qid=1615467569&sr=8-53,1460,i7,7,Intel,,0,Amazon (SA)
53,لاب توب العاب ام اس اي GF65 رفيع 9SEXR-838 معالج i7-9750H/ ار تي اكس 2060/، رام 8 جيجا/وذاكرة 512 جيجا/ نظام تشغيل ويندوز 10,https://www.amazon.sa/GF65-9SEXR-838-i7-9750H-%D9%88%D8%B0%D8%A7%D9%83%D8%B1%D8%A9-%D9%88%D9%8A%D9%86%D8%AF%D9%88%D8%B2/dp/B08BZQ9499/ref=sr_1_54?dchild=1&keywords=gaming+laptop&qid=1615467569&sr=8-54,1260,i7,7,Intel,,0,Amazon (SA)
54,"Lenovo IdeaPad Gaming 3 15.6"" Gaming Laptop 120Hz Ryzen 7-4800H 8GB RAM 512GB SSD GTX 1650 Ti 4GB - AMD Ryzen 7-4800H Octa-core - NVIDIA GeForce GTX 1650 Ti 4GB GDDR6 - 120Hz Refresh Rate - in-pl",https://www.amazon.sa/15ARH05/dp/B08PDSJV27/ref=sr_1_55?dchild=1&keywords=gaming+laptop&qid=1615467569&sr=8-55,1053,Ryzen 7,7,AMD,8,0,Amazon (SA)
55,لاب توب لينوفو ايديا باد للالعاب 3i 15 بوصة، شاشة 15.6 بوصة فل اتش دي (1920 x 1080)، معالج انتل كور i5-10300H، رام 8 جيجا، ذاكرة رام 512 جيجا، نفيديا GTX 1650Ti جرافيكس، ويندوز 10، 81Y400U6US، اسود,https://www.amazon.sa/%D9%84%D9%8A%D9%86%D9%88%D9%81%D9%88-%D9%84%D9%84%D8%A7%D9%84%D8%B9%D8%A7%D8%A8-i5-10300H%D8%8C-%D8%AC%D8%B1%D8%A7%D9%81%D9%8A%D9%83%D8%B3%D8%8C-81Y400U6US%D8%8C/dp/B08L5KL4SG/ref=sr_1_56?dchild=1&keywords=gaming+laptop&qid=1615467569&sr=8-56,997,i5,5,Intel,,0,Amazon (SA)
56,"Asus ROG STRIX G712LWS-EV031T-STRIX G Gaming Laptop (Orignal Black) - Intel i7-10750H 2.6 GHz, 16 GB RAM,1TB, Nvidia GeForce RTX 2070 SUPER, 17.3 inches, Windows 10,Eng-Arb-KB",https://www.amazon.sa/dp/B08D389927/ref=sr_1_57?dchild=1&keywords=gaming+laptop&qid=1615467569&sr=8-57,2469,i7,7,Intel,16,0,Amazon (SA)
57,"MSI Creator 17 A10SF (RTX2070 Max-Q, GDDR6 8GB) [9S7-17G312-029] Gaming Laptop, Comet lake i7-10875H+HM470, 17.3 Inch, 1TB SSD, 32GB RAM, RTX2070 Max-Q, GDDR6 8GB, Win10, Eng-Ara KB",https://www.amazon.sa/9S7-17G312-029/dp/B089VRD9NQ/ref=sr_1_58?dchild=1&keywords=gaming+laptop&qid=1615467569&sr=8-58,3892,i7,7,Intel,32,0,Amazon (SA)
59,لاب توب بليد 15 2020 المخصص للالعاب من رايزر معالج انتل كور اي7 -10750H سداسي النواة، نفيديا جي فورس جي تي اكس 1660 تي اي,https://www.amazon.sa/%D8%A7%D9%84%D9%85%D8%AE%D8%B5%D8%B5-%D9%84%D9%84%D8%A7%D9%84%D8%B9%D8%A7%D8%A8-10750H-%D8%A7%D9%84%D9%86%D9%88%D8%A7%D8%A9%D8%8C-%D9%86%D9%81%D9%8A%D8%AF%D9%8A%D8%A7/dp/B086MFZBM9/ref=sr_1_60?dchild=1&keywords=gaming+laptop&qid=1615467569&sr=8-60,1773, اي7,7,Intel,,0,Amazon (SA)
63,"Lenovo Legion 5 15.6"" LED-Backlit Antiglare FHD Gaming Laptop 10th Gen Intel Core i7-10750H 16GB RAM 1TB HDD + 512GB NVMe SSD 6GB NVIDIA GeForce GTX 1660Ti Windows 10 Home - Moss Green",https://www.amazon.sa/81Y6003YUS/dp/B08FC15WPH/ref=sr_1_64?dchild=1&keywords=gaming+laptop&qid=1615467569&sr=8-64,1393,i7,7,Intel,16,0,Amazon (SA)
64,"Acer Predator Helios 300 Gaming Laptop, Intel i7-10750H, NVIDIA GeForce RTX 2070 Max-Q 8GB, 17.3"" FHD 144Hz 3ms IPS Display, 16GB Dual-Channel DDR4, 1TB NVMe SSD, WiFi 6, RGB Keyboard, PH317-54-70Z5",https://www.amazon.sa/PH317-54-70Z5/dp/B089WG3YMT/ref=sr_1_65?dchild=1&keywords=gaming+laptop&qid=1615467569&sr=8-65,1841,i7,7,Intel,,0,Amazon (SA)
65,ام اس اي 17.3 انش 144 هرتز اي بي اس انتل كور i7-10750H ذاكرة 16 جيجابايت 1 تيرابايت قرص صلب + 512 جيجابايت اس اس دي RTX 2070 8GB GDDR6 طراز GL75 ليوبارد 10SFK-029,https://www.amazon.sa/i7-10750H-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-%D8%AA%D9%8A%D8%B1%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-%D9%84%D9%8A%D9%88%D8%A8%D8%A7%D8%B1%D8%AF-10SFK-029/dp/B08CBNJ2H7/ref=sr_1_66?dchild=1&keywords=gaming+laptop&qid=1615467569&sr=8-66,2188, اي 1,1,Intel,,0,Amazon (SA)
66,لاب توب نوت بوك من الجيل الخامس للالعاب من ديل، انتل كور اي7 10750اتش - 15 انش، وسيط تخزين ذو حالة ثابتة 512 جيجا بايت، 16 جيجا بايت، نفيديا مخصصة، ويندوز 10، لوحة مفاتيح انجليزي/عربي، اسود,https://www.amazon.sa/%D8%A7%D9%84%D8%AC%D9%8A%D9%84-%D8%A7%D9%84%D8%AE%D8%A7%D9%85%D8%B3-%D9%84%D9%84%D8%A7%D9%84%D8%B9%D8%A7%D8%A8-%D8%AF%D9%8A%D9%84%D8%8C-10750%D8%A7%D8%AA%D8%B4/dp/B08NHN2XPS/ref=sr_1_67?dchild=1&keywords=gaming+laptop&qid=1615467569&sr=8-67,1313, اي7,7,Intel,,0,Amazon (SA)
67,لابتوب ديل G5 15 5500، شاشة 15.6 انش فل اتش دي، معالج 300 هرتز، انتل كور i7-10750H 5.0 جيجا هيرتز، رام 16 جيجا، 512B SSD، 8 جيجا RTX 2060، كيبورد انجليزي، ويندوز10، اسود، 5500-G5-E1700-BLK,https://www.amazon.sa/%D8%AF%D9%8A%D9%84-i7-10750H-%D8%A7%D9%86%D8%AC%D9%84%D9%8A%D8%B2%D9%8A%D8%8C-%D9%88%D9%8A%D9%86%D8%AF%D9%88%D8%B210%D8%8C-5500-G5-E1700-BLK/dp/B08HYV9LR8/ref=sr_1_68?dchild=1&keywords=gaming+laptop&qid=1615467569&sr=8-68,1714,i7,7,Intel,,0,Amazon (SA)
68,"MSI GL65 Leopard Gaming Laptop 2021 Newest, 15.6"" FHD 144Hz 3ms Thin-Bezel Display, Intel Six-Core i7-10750H, GeForce RTX 2070, 32GB DDR4 RAM, 1TB PCIe NVMe SSD + 2TB HDD, Windows 10",https://www.amazon.sa/GL65/dp/B08X4SRQYW/ref=sr_1_69?dchild=1&keywords=gaming+laptop&qid=1615467569&sr=8-69,1973,i7,7,Intel,,0,Amazon (SA)
69,"HP Pavilion Gaming Laptop 15-ec1004nx, 15.6"" FHD, AMD Ryzen 5-46000H processor, 8GB RAM, 1TB HDD - 128GB SSD, NVIDIA GeForce GTX 1650 4GB Graphics, Windows 10 Home,EN-AR KB,Black - Middle East Version",https://www.amazon.sa/dp/B08XFCBFZG/ref=sr_1_70?dchild=1&keywords=gaming+laptop&qid=1615467569&sr=8-70,972,Ryzen 5,5,AMD,8,0,Amazon (SA)
72,"Lenovo Legion 5 15.6"" Gaming Laptop 144Hz AMD Ryzen 7-4800H 16GB RAM 512GB SSD RTX 2060 6GB Phantom Black - AMD Ryzen 7 4800H Octa-core - NVIDIA GeForce RTX 2060 6GB - in-Plane Switching (IPS) Te",https://www.amazon.sa/15RH05H/dp/B08Q7BL7N1/ref=sr_1_73?dchild=1&keywords=gaming+laptop&qid=1615467569&sr=8-73,1503,Ryzen 7,7,AMD,16,0,Amazon (SA)
